amount,amountInHomeCurrency,category,conversionRate,country,countryCode,datePaid,homeCurrency,localCurrency,notes,paidBy,paidFor,kristianallin,egal,paymentMethod,photo,place,latitude,longitude,type,numberOfDays,excludeFromAvg,addToBudget,categoryId,categoryIcon,categoryColor,paymentMethodId,paymentMethodIcon,paymentMethodColor,paidById,paidToId,splitObjects
"2,000.00"," 9.13","Restaurants","219.022","Sri Lanka","LK","2025-09-03","CAD","LKR","Ella gelato","kristianallin","kristianallin,egal"," 4.57"," 4.56","Credit Card","","","","","Expense","1","false","false","restaurant-false-386c1f850fbd5f478fb4ef8a134c1740","restaurant","#009688","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':1000000,'shareInHomeCurrency':4570,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':1000000,'shareInHomeCurrency':4560,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"5,940.00"," 27.12","Restaurants","219.022","Sri Lanka","LK","2025-09-03","CAD","LKR","Ak risto dinner Ella","kristianallin","kristianallin,egal"," 13.56"," 13.56","Cash","","","","","Expense","1","false","false","restaurant-false-386c1f850fbd5f478fb4ef8a134c1740","restaurant","#009688","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':2970000,'shareInHomeCurrency':13560,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':2970000,'shareInHomeCurrency':13560,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"810.00"," 3.70","Transportation","219.022","Sri Lanka","LK","2025-09-03","CAD","LKR","Tuktuk Ella to hotel","kristianallin","kristianallin"," 3.70"," 0.00","Cash","","","","","Expense","1","false","false","train-false-a600971fdd23ea1f5685d7ee01d5f5c3","train","#EF6C00","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':810000,'shareInHomeCurrency':3700,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'}]"
"1,000.00"," 4.56","Restaurants","219.473","Sri Lanka","LK","2025-09-03","CAD","LKR","Train rice","kristianallin","kristianallin,egal"," 2.28"," 2.28","Cash","","","","","Expense","1","false","false","restaurant-false-386c1f850fbd5f478fb4ef8a134c1740","restaurant","#009688","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':500000,'shareInHomeCurrency':2280,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':500000,'shareInHomeCurrency':2280,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"400.00"," 1.82","Restaurants","219.473","Sri Lanka","LK","2025-09-03","CAD","LKR","Train samosas","kristianallin","kristianallin,egal"," 0.91"," 0.91","Cash","","","","","Expense","1","false","false","restaurant-false-386c1f850fbd5f478fb4ef8a134c1740","restaurant","#009688","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':200000,'shareInHomeCurrency':910,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':200000,'shareInHomeCurrency':910,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
" 2.32"," 2.32","Transportation","1","Sri Lanka","LK","2025-09-03","CAD","CAD","Taxi to station","kristianallin","kristianallin,egal"," 1.16"," 1.16","Credit Card","","Central Province, Sri Lanka","7.275","80.614","Expense","1","false","false","train-false-a600971fdd23ea1f5685d7ee01d5f5c3","train","#EF6C00","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':1160,'shareInHomeCurrency':1160,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':1160,'shareInHomeCurrency':1160,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
" 67.07"," 67.07","Transportation","1","Sri Lanka","LK","2025-09-03","CAD","CAD","Train to Ella","kristianallin","kristianallin,egal"," 33.54"," 33.53","Credit Card","","Siem Reap, Cambodia","13.359","103.881","Expense","1","false","false","train-false-a600971fdd23ea1f5685d7ee01d5f5c3","train","#EF6C00","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':33540,'shareInHomeCurrency':33540,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':33530,'shareInHomeCurrency':33530,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"29,160.00"," 133.14","Accommodation","219.022","Canada","CA","2025-09-03","CAD","LKR","Ella mountjoy","egal","kristianallin,egal"," 66.57"," 66.57","Credit Card","","Prince Edward County, Canada","43.932","-77.274","Expense","3","false","false","hotel-false-3e1b660a6d0b1877c3dd4a16fbb5cb5c","hotel","#DB4437","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","jAoT6CIQr2Nvpcx7t7d0KhKGmlk2","","[{'share':14580000,'shareInHomeCurrency':66570,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':14580000,'shareInHomeCurrency':66570,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"204.96"," 0.93","Transportation","219.473","Sri Lanka","LK","2025-09-02","CAD","LKR","Tuktuk to hotel","kristianallin","kristianallin"," 0.93"," 0.00","Credit Card","","","","","Expense","1","false","false","train-false-a600971fdd23ea1f5685d7ee01d5f5c3","train","#EF6C00","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':204960,'shareInHomeCurrency':930,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'}]"
"3,690.00"," 16.83","Restaurants","219.25","Sri Lanka","LK","2025-09-02","CAD","LKR","The Golden Curry Pvt","kristianallin","kristianallin"," 16.83"," 0.00","Credit Card","","","","","Expense","1","false","false","restaurant-false-386c1f850fbd5f478fb4ef8a134c1740","restaurant","#009688","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':3690000,'shareInHomeCurrency':16830,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'}]"
"269.65"," 1.23","Transportation","219.25","Sri Lanka","LK","2025-09-02","CAD","LKR","Tuktuk to town","kristianallin","kristianallin"," 1.23"," 0.00","Credit Card","","","","","Expense","1","false","false","train-false-a600971fdd23ea1f5685d7ee01d5f5c3","train","#EF6C00","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':269650,'shareInHomeCurrency':1230,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'}]"
"2,556.07"," 11.65","Restaurants","219.473","Sri Lanka","LK","2025-09-02","CAD","LKR","Lunch hotel","egal","kristianallin,egal"," 5.83"," 5.82","Credit Card","","Kandy, Sri Lanka","7.295","80.637","Expense","1","false","false","restaurant-false-386c1f850fbd5f478fb4ef8a134c1740","restaurant","#009688","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","jAoT6CIQr2Nvpcx7t7d0KhKGmlk2","","[{'share':1278040,'shareInHomeCurrency':5830,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':1278030,'shareInHomeCurrency':5820,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
" 17.25"," 17.25","Groceries","1","Sri Lanka","LK","2025-09-02","CAD","CAD","Arpico superstore","kristianallin","kristianallin,egal"," 8.63"," 8.62","Credit Card","","Kandy, Sri Lanka","7.315","80.631","Expense","1","false","false","shopping_cart-false-7c3765bf72361083d820071fb21308a9","shopping_cart","#039BE5","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':8630,'shareInHomeCurrency':8630,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':8620,'shareInHomeCurrency':8620,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"7,415.27"," 33.82","Restaurants","219.25","Sri Lanka","LK","2025-09-01","CAD","LKR","Dinner hotel","egal","kristianallin,egal"," 16.91"," 16.91","Credit Card","","Kandy, Sri Lanka","7.315","80.631","Expense","1","false","false","restaurant-false-386c1f850fbd5f478fb4ef8a134c1740","restaurant","#009688","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","jAoT6CIQr2Nvpcx7t7d0KhKGmlk2","","[{'share':3707640,'shareInHomeCurrency':16910,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':3707630,'shareInHomeCurrency':16910,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"2,240.00"," 10.22","Groceries","219.25","Sri Lanka","LK","2025-09-01","CAD","LKR","Arpico superstore","kristianallin","kristianallin,egal"," 5.11"," 5.11","Credit Card","","","","","Expense","1","false","false","shopping_cart-false-7c3765bf72361083d820071fb21308a9","shopping_cart","#039BE5","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':1120000,'shareInHomeCurrency':5110,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':1120000,'shareInHomeCurrency':5110,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"300.00"," 1.37","Transportation","219.337","Sri Lanka","LK","2025-09-01","CAD","LKR","Tuktuk to hotel","kristianallin","kristianallin"," 1.37"," 0.00","Credit Card","","","","","Expense","1","false","false","train-false-a600971fdd23ea1f5685d7ee01d5f5c3","train","#EF6C00","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':300000,'shareInHomeCurrency':1370,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'}]"
"4,092.00"," 18.66","Restaurants","219.337","Sri Lanka","LK","2025-09-01","CAD","LKR","Buono lunch","kristianallin","kristianallin"," 18.66"," 0.00","Cash","","","","","Expense","1","false","false","restaurant-false-386c1f850fbd5f478fb4ef8a134c1740","restaurant","#009688","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':4092000,'shareInHomeCurrency':18660,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'}]"
" 1.12"," 1.12","Transportation","1","Sri Lanka","LK","2025-09-01","CAD","CAD","Tuktuk to town","kristianallin","kristianallin,egal"," 0.56"," 0.56","Credit Card","","Kandy, Sri Lanka","7.295","80.638","Expense","1","false","false","train-false-a600971fdd23ea1f5685d7ee01d5f5c3","train","#EF6C00","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':560,'shareInHomeCurrency':560,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':560,'shareInHomeCurrency':560,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"4,000.00"," 18.24","Activities","219.337","Sri Lanka","LK","2025-09-01","CAD","LKR","Museum entry","kristianallin","kristianallin"," 18.24"," 0.00","Cash","","","","","Expense","1","false","false","rowing-false-d78ed35383108fb6c04c16d0a11b20fe","rowing","#E91E63","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':4000000,'shareInHomeCurrency':18240,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'}]"
"375.00"," 1.71","Groceries","219.337","Sri Lanka","LK","2025-09-01","CAD","LKR","Toothpaste","kristianallin","kristianallin"," 1.71"," 0.00","Cash","","","","","Expense","1","false","false","shopping_cart-false-7c3765bf72361083d820071fb21308a9","shopping_cart","#039BE5","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':375000,'shareInHomeCurrency':1710,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'}]"
"83,174.00"," 378.97","Accommodation","219.473","Sri Lanka","LK","2025-08-31","CAD","LKR","Kandy mist hotel","egal","kristianallin,egal"," 189.49"," 189.48","Credit Card","","Kandy, Sri Lanka","7.315","80.631","Expense","3","false","false","hotel-false-3e1b660a6d0b1877c3dd4a16fbb5cb5c","hotel","#DB4437","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","jAoT6CIQr2Nvpcx7t7d0KhKGmlk2","","[{'share':41587000,'shareInHomeCurrency':189490,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':41587000,'shareInHomeCurrency':189480,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"9,771.64"," 44.55","Restaurants","219.337","Sri Lanka","LK","2025-08-31","CAD","LKR","Dinner hotel","egal","kristianallin,egal"," 22.28"," 22.27","Credit Card","","Kandy, Sri Lanka","7.315","80.631","Expense","1","false","false","restaurant-false-386c1f850fbd5f478fb4ef8a134c1740","restaurant","#009688","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","jAoT6CIQr2Nvpcx7t7d0KhKGmlk2","","[{'share':4885820,'shareInHomeCurrency':22280,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':4885820,'shareInHomeCurrency':22270,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
" 37.92"," 60.85","Transportation","0.623","Cambodia","KH","2025-08-31","CAD","EUR","Taxi to Kandy","kristianallin","kristianallin,egal"," 30.43"," 30.42","Credit Card","","Siem Reap, Cambodia","13.359","103.881","Expense","1","false","false","train-false-a600971fdd23ea1f5685d7ee01d5f5c3","train","#EF6C00","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':18960,'shareInHomeCurrency':30430,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':18960,'shareInHomeCurrency':30420,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
" 10.00"," 18.78","SIM Cards","0.532","Cambodia","KH","2025-08-22","CAD","GBP","Erin sim","egal","egal"," 0.00"," 18.78","Credit Card","","Siem Reap, Cambodia","13.353","103.854","Expense","1","false","false","phone_iphone-false-64b67263d3b8fa751708f03bab901e64","phone_iphone","#5C6BC0","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","jAoT6CIQr2Nvpcx7t7d0KhKGmlk2","","[{'share':10000,'shareInHomeCurrency':18780,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
" 71.34"," 71.34","Fees & Charges","1","Thailand","TH","2025-08-14","CAD","CAD","Sri Lanka visa","egal","egal"," 0.00"," 71.34","Credit Card","","Vadhana District, Thailand","13.737","100.571","Expense","1","false","false","monetization_on-false-032772a5c2c6ac2f128ca6c7fb009e0c","monetization_on","#9C27B0","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","jAoT6CIQr2Nvpcx7t7d0KhKGmlk2","","[{'share':71340,'shareInHomeCurrency':71340,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
" 71.34"," 71.34","Fees & Charges","1","Thailand","TH","2025-08-14","CAD","CAD","Sri Lanka visa","kristianallin","kristianallin"," 71.34"," 0.00","Credit Card","","Vadhana District, Thailand","13.737","100.571","Expense","1","false","false","monetization_on-false-032772a5c2c6ac2f128ca6c7fb009e0c","monetization_on","#9C27B0","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':71340,'shareInHomeCurrency':71340,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'}]"
" 679.05"," 679.05","Flights","1","Canada","CA","2025-07-22","CAD","CAD","BKK-CMB","kristianallin","kristianallin,egal"," 339.53"," 339.52","Credit Card","","","","","Expense","1","false","false","flight-false-504541934e46dc88caac2c0788e10519","flight","#4285F4","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':339530,'shareInHomeCurrency':339530,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':339520,'shareInHomeCurrency':339520,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"30,000.00"," 137.80","","217.7","","","2025-09-06","CAD","LKR","","egal","kristianallin","","","","","","","","Transfer","","","","","","","","","","jAoT6CIQr2Nvpcx7t7d0KhKGmlk2","2qZZepJQcJZ9kN0wUZh8xKeSaFx1",""
"50,000.00"," 228.29","","219.022","","","2025-09-05","CAD","LKR","","egal","kristianallin","","","","","","","","Transfer","","","","","","","","","","jAoT6CIQr2Nvpcx7t7d0KhKGmlk2","2qZZepJQcJZ9kN0wUZh8xKeSaFx1",""
"40,000.00"," 182.26","","219.473","","","2025-09-02","CAD","LKR","","egal","kristianallin","","","","","","","","Transfer","","","","","","","","","","jAoT6CIQr2Nvpcx7t7d0KhKGmlk2","2qZZepJQcJZ9kN0wUZh8xKeSaFx1",""
"20,000.00"," 91.18","","219.337","","","2025-08-31","CAD","LKR","","egal","kristianallin","","","","","","","","Transfer","","","","","","","","","","jAoT6CIQr2Nvpcx7t7d0KhKGmlk2","2qZZepJQcJZ9kN0wUZh8xKeSaFx1",""
