amount,amountInHomeCurrency,category,conversionRate,country,countryCode,datePaid,homeCurrency,localCurrency,notes,paidBy,paidFor,kristianallin,egal,susannaallin04,paymentMethod,photo,place,latitude,longitude,type,numberOfDays,excludeFromAvg,addToBudget,categoryId,categoryIcon,categoryColor,paymentMethodId,paymentMethodIcon,paymentMethodColor,paidById,paidToId,splitObjects
"94.00"," 37.24","Restaurants","2.525","Peru","PE","2026-03-07","CAD","PEN","Pancca Oha Olga Yolanda","kristianallin","kristianallin,egal"," 18.62"," 18.62"," 0.00","Credit Card","","","","","Expense","1","false","false","restaurant-false-386c1f850fbd5f478fb4ef8a134c1740","restaurant","#009688","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':47000,'shareInHomeCurrency':18620,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':47000,'shareInHomeCurrency':18620,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"40.00"," 15.84","Activities","2.525","Peru","PE","2026-03-07","CAD","PEN","Local Boat ride","kristianallin","kristianallin,egal"," 7.92"," 7.92"," 0.00","Cash","","","","","Expense","1","false","false","rowing-false-d78ed35383108fb6c04c16d0a11b20fe","rowing","#E91E63","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':20000,'shareInHomeCurrency':7920,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':20000,'shareInHomeCurrency':7920,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"250.00"," 99.03","Shopping","2.525","Peru","PE","2026-03-07","CAD","PEN","Lake Titicaca souvenirs","kristianallin","kristianallin,egal"," 49.52"," 49.51"," 0.00","Cash","","","","","Expense","1","false","false","local_mall-false-fed561a86e066be5a26232626c4867a2","local_mall","#0F9D58","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':125000,'shareInHomeCurrency':49520,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':125000,'shareInHomeCurrency':49510,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"20.70"," 8.20","Laundry","2.525","Peru","PE","2026-03-07","CAD","PEN","Laundry","kristianallin","kristianallin,egal"," 4.10"," 4.10"," 0.00","Cash","","","","","Expense","1","false","false","local_laundry_service-false-51f0cc41f89738b2c779ae8e61e45adf","local_laundry_service","#0097A7","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':10350,'shareInHomeCurrency':4100,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':10350,'shareInHomeCurrency':4100,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
" 285.00"," 285.00","Transportation","1","Peru","PE","2026-03-06","CAD","CAD","Rental car","kristianallin","kristianallin,egal"," 142.50"," 142.50"," 0.00","Credit Card","","Puno, Peru","-15.841","-70.028","Expense","5","false","false","train-false-a600971fdd23ea1f5685d7ee01d5f5c3","train","#EF6C00","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':142500,'shareInHomeCurrency':142500,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':142500,'shareInHomeCurrency':142500,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"110.00"," 44.08","Restaurants","2.495","Peru","PE","2026-03-06","CAD","PEN","Indian dinner","kristianallin","kristianallin,egal"," 22.04"," 22.04"," 0.00","Cash","","","","","Expense","1","false","false","restaurant-false-386c1f850fbd5f478fb4ef8a134c1740","restaurant","#009688","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':55000,'shareInHomeCurrency':22040,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':55000,'shareInHomeCurrency':22040,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"7.80"," 3.13","Transportation","2.495","Peru","PE","2026-03-06","CAD","PEN","Tolls","kristianallin","kristianallin,egal"," 1.57"," 1.56"," 0.00","Cash","","","","","Expense","1","false","false","train-false-a600971fdd23ea1f5685d7ee01d5f5c3","train","#EF6C00","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':3900,'shareInHomeCurrency':1570,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':3900,'shareInHomeCurrency':1560,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"60.13"," 24.10","Gas","2.495","Peru","PE","2026-03-06","CAD","PEN","Estacion Zamacola","kristianallin","kristianallin,egal"," 12.05"," 12.05"," 0.00","Credit Card","","","","","Expense","1","false","false","ev_station-false-635459702f9817de29e608fa3395637c","ev_station","#6D4C41","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':30070,'shareInHomeCurrency':12050,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':30060,'shareInHomeCurrency':12050,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"22.98"," 9.21","Groceries","2.495","Peru","PE","2026-03-06","CAD","PEN","Oxxo Efigies","kristianallin","kristianallin,egal"," 4.61"," 4.60"," 0.00","Credit Card","","","","","Expense","1","false","false","shopping_cart-false-7c3765bf72361083d820071fb21308a9","shopping_cart","#039BE5","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':11490,'shareInHomeCurrency':4610,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':11490,'shareInHomeCurrency':4600,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
" 185.13"," 250.76","Accommodation","0.738","Peru","PE","2026-03-06","CAD","USD","Lake titicaca hotel","kristianallin","kristianallin,egal"," 125.38"," 125.38"," 0.00","Credit Card","","Miguel Hidalgo, Mexico","19.405","-99.178","Expense","3","false","false","hotel-false-3e1b660a6d0b1877c3dd4a16fbb5cb5c","hotel","#DB4437","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':92570,'shareInHomeCurrency':125380,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':92560,'shareInHomeCurrency':125380,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
